yearsofexperience,yearsatcompany,region,salary_level
17.0,13.0,7,7
1.0,1.0,7,3
18.0,4.0,7,6
14.0,1.0,7,5
4.0,0.0,7,4
10.0,5.0,7,5
3.0,2.0,7,3
7.0,6.0,7,3
1.0,1.0,7,3
0.0,0.0,7,3
15.0,3.0,7,5
23.0,1.0,7,6
10.0,3.0,7,4
4.0,1.0,7,5
9.0,9.0,7,7
5.0,5.0,7,2
12.0,12.0,7,3
8.0,7.0,7,4
6.0,2.0,7,4
20.0,10.0,7,6
2.0,0.0,7,4
4.0,1.0,7,6
8.0,0.0,7,6
15.0,3.0,7,5
20.0,2.0,7,5
15.0,10.0,7,8
3.0,0.0,7,4
1.0,1.0,7,3
12.0,10.0,7,5
15.0,3.0,7,6
5.0,0.0,7,4
1.0,1.0,7,2
8.0,7.0,7,6
10.0,5.0,7,5
2.0,2.0,7,3
3.0,1.0,7,4
2.0,2.0,7,3
6.0,2.0,7,5
1.0,1.0,7,3
18.0,6.0,7,6
8.0,3.0,7,6
0.0,0.0,7,3
2.0,2.0,7,3
15.0,3.0,7,5
10.0,3.0,7,5
6.0,6.0,7,4
0.0,0.0,7,3
1.0,1.0,7,3
10.0,6.0,7,5
4.0,1.0,7,4
5.0,5.0,7,3
25.0,25.0,7,5
0.0,0.0,7,3
1.0,1.0,7,3
13.0,0.0,7,6
7.0,4.0,7,6
1.0,1.0,7,2
7.0,4.0,7,4
0.0,0.0,7,2
4.0,0.0,7,4
7.0,3.0,7,5
3.0,0.0,7,4
8.0,4.0,7,4
15.0,3.0,7,7
4.0,3.0,7,4
5.0,5.0,7,7
0.0,0.0,7,3
12.0,6.0,7,4
15.0,10.0,7,8
3.0,1.0,7,3
4.0,1.0,7,4
19.0,6.0,7,7
0.0,0.0,7,2
6.0,1.0,7,5
15.0,10.0,7,7
4.0,2.0,7,3
3.0,0.0,7,5
5.0,0.0,7,6
6.0,6.0,7,4
5.0,4.0,7,5
10.0,2.0,7,6
1.0,1.0,7,3
10.0,5.0,7,5
0.0,0.0,7,2
1.0,1.0,7,4
5.0,5.0,7,3
5.0,3.0,7,3
20.0,1.0,7,5
8.0,0.0,7,5
2.0,2.0,7,3
7.0,7.0,7,5
4.0,0.0,7,4
11.0,1.0,7,5
4.0,4.0,7,4
12.0,0.0,7,6
11.0,2.0,7,5
2.0,2.0,7,2
17.0,1.0,7,6
5.0,5.0,7,5
15.0,8.0,7,9
3.0,3.0,7,4
13.0,1.0,7,6
15.0,4.0,7,6
11.0,11.0,7,6
10.0,2.0,7,6
2.0,2.0,7,3
8.0,8.0,7,5
0.0,0.0,7,3
7.0,1.0,7,5
8.0,3.0,7,5
2.0,1.0,7,2
15.0,2.0,7,6
8.0,3.0,7,7
10.0,3.0,7,8
3.0,3.0,7,3
30.0,3.0,7,7
7.0,0.0,7,6
2.0,1.0,7,3
6.0,3.0,7,5
2.0,2.0,7,3
2.0,2.0,7,3
3.0,3.0,7,4
8.0,6.0,7,6
12.0,8.0,7,5
16.0,13.0,7,5
15.0,3.0,7,5
5.0,5.0,7,5
9.0,3.0,7,5
7.0,7.0,7,5
7.0,0.0,7,4
8.0,0.0,7,6
7.0,2.0,7,6
7.0,5.0,7,5
15.0,0.0,7,7
2.0,1.0,7,4
2.0,1.0,7,4
2.0,2.0,7,3
10.0,1.0,7,6
7.0,5.0,7,5
4.0,4.0,7,5
11.0,5.0,7,5
5.0,1.0,7,4
10.0,10.0,7,6
8.0,0.0,7,6
20.0,6.0,7,6
5.0,2.0,7,5
4.0,2.0,7,4
3.0,2.0,7,3
3.0,0.0,7,4
3.0,0.0,7,3
3.0,0.0,7,4
22.0,1.0,7,5
1.0,1.0,7,3
7.0,7.0,7,4
6.0,4.0,7,6
3.0,0.0,7,4
6.0,6.0,7,5
2.0,2.0,7,3
15.0,2.0,7,5
25.0,10.0,7,6
2.0,0.0,7,4
8.0,0.0,7,5
6.0,1.0,7,4
5.0,1.0,7,4
10.0,3.0,7,4
3.0,1.0,7,4
1.0,1.0,7,3
0.0,0.0,7,3
10.0,8.0,7,4
2.0,0.0,7,3
8.0,6.0,7,4
0.0,0.0,7,3
2.0,2.0,7,3
14.0,2.0,7,5
2.0,2.0,7,3
3.0,1.0,7,5
2.0,2.0,7,3
1.0,0.0,7,3
13.0,1.0,7,6
1.0,1.0,7,3
3.0,1.0,7,3
6.0,2.0,7,4
2.0,0.0,7,4
2.0,2.0,7,5
20.0,3.0,7,5
7.0,5.0,7,4
6.0,6.0,7,4
7.0,0.0,7,6
3.0,3.0,7,3
23.0,7.0,7,6
3.0,0.0,7,5
10.0,0.0,7,4
10.0,2.0,7,6
6.0,0.0,7,5
6.0,6.0,7,4
4.0,2.0,7,4
6.0,5.0,7,4
3.0,3.0,7,4
12.0,7.0,7,4
8.0,0.0,7,5
2.0,2.0,7,3
3.0,0.0,7,4
3.0,0.0,7,6
15.0,6.0,7,6
3.0,1.0,7,3
2.0,2.0,7,2
0.0,0.0,7,5
4.0,1.0,7,4
3.0,3.0,7,4
2.0,1.0,7,4
3.0,1.0,7,4
5.0,0.0,7,5
1.0,1.0,7,2
10.0,5.0,7,8
8.0,2.0,7,3
15.0,1.0,7,5
0.0,0.0,7,3
5.0,0.0,7,4
16.0,0.0,7,7
7.0,2.0,7,5
28.0,16.0,7,7
0.0,0.0,7,3
5.0,4.0,7,4
2.0,2.0,7,4
10.0,2.0,7,6
2.0,2.0,7,2
5.0,3.0,7,4
7.0,5.0,7,6
15.0,11.0,7,5
3.0,1.0,7,4
20.0,2.0,7,5
0.0,0.0,7,3
14.0,2.0,7,4
12.0,8.0,7,7
2.0,0.0,7,3
15.0,2.0,7,6
6.0,1.0,7,3
5.0,2.0,7,4
0.0,0.0,7,3
1.0,0.0,7,4
15.0,8.0,7,5
0.0,0.0,7,3
5.0,1.0,7,4
2.0,2.0,7,4
5.0,2.0,7,5
6.0,1.0,7,5
4.0,0.0,7,4
1.0,0.0,7,4
10.0,4.0,7,5
3.0,1.0,7,3
5.0,0.0,7,5
2.0,0.0,7,3
4.0,4.0,7,4
0.0,0.0,7,4
5.0,3.0,7,3
2.0,0.0,7,4
1.0,1.0,7,3
5.0,0.0,7,4
2.0,1.0,7,3
4.0,4.0,7,5
14.0,14.0,7,4
0.0,0.0,7,4
15.0,5.0,7,6
5.0,1.0,7,4
13.0,13.0,7,7
0.0,0.0,7,5
2.0,0.0,7,6
6.0,2.0,7,4
0.0,0.0,7,3
2.0,0.0,7,4
6.0,5.0,7,5
4.0,1.0,7,4
0.0,0.0,7,4
15.0,7.0,7,4
1.0,1.0,7,4
2.0,0.0,7,4
4.0,4.0,7,4
4.0,2.0,7,3
2.0,1.0,7,4
3.0,0.0,7,4
5.0,5.0,7,5
5.0,1.0,7,6
6.0,1.0,7,5
7.0,2.0,7,4
20.0,1.0,7,5
5.0,1.0,7,6
15.0,0.0,7,7
3.0,3.0,7,3
40.0,12.0,7,3
2.0,0.0,7,4
7.0,1.0,7,6
13.0,4.0,7,6
8.0,1.0,7,3
5.0,0.0,7,5
15.0,7.0,7,5
0.0,0.0,7,3
16.0,0.0,7,6
15.0,4.0,7,7
1.0,0.0,7,4
1.0,1.0,7,4
3.0,1.0,7,3
2.0,0.0,7,4
10.0,4.0,7,5
3.0,0.0,7,5
7.0,1.0,7,4
3.0,0.0,7,3
4.0,0.0,7,5
4.0,1.0,7,5
5.0,5.0,7,4
0.0,0.0,7,3
1.0,1.0,7,2
10.0,5.0,7,4
11.0,1.0,7,5
5.0,3.0,7,5
1.0,1.0,7,3
4.0,0.0,7,4
6.0,0.0,7,5
3.0,2.0,7,4
1.0,0.0,7,3
8.0,8.0,7,5
8.0,4.0,7,4
5.0,4.0,7,5
10.0,2.0,7,4
1.0,1.0,7,2
6.0,1.0,7,4
10.0,10.0,7,4
2.0,0.0,7,3
9.0,0.0,7,5
15.0,6.0,7,8
1.0,0.0,7,4
3.0,0.0,7,4
14.0,0.0,7,5
12.0,2.0,7,5
1.0,0.0,7,4
1.0,0.0,7,4
6.0,6.0,7,6
16.0,4.0,7,6
0.0,0.0,7,2
2.0,0.0,7,4
5.0,2.0,7,4
3.0,0.0,7,4
15.0,10.0,7,7
5.0,2.0,7,6
3.0,0.0,7,3
10.0,2.0,7,6
1.0,0.0,7,4
6.0,5.0,7,4
6.0,6.0,7,4
6.0,1.0,7,6
17.0,3.0,7,7
3.0,0.0,7,4
0.0,0.0,7,2
0.0,0.0,7,3
6.0,6.0,7,4
5.0,1.0,7,3
8.0,4.0,7,4
1.0,1.0,7,4
7.0,1.0,7,4
1.0,1.0,7,3
1.0,1.0,7,3
1.0,1.0,7,3
6.0,2.0,7,4
13.0,12.0,7,4
5.0,0.0,7,5
2.0,2.0,7,3
9.0,7.0,7,6
0.0,0.0,7,2
8.0,2.0,7,5
0.0,0.0,7,2
2.0,2.0,10,3
